file_path,label,category_id,category_name
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/f670b8a9-7f74-4424-9b2c-5ed900868df4.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/a59857aa-e833-4c28-bdc2-e7845fc96459.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/a0eca0b3-f6d7-4943-a496-5be59a33f860.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/132bc433-f6f0-4f44-9d45-533d12c776da.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/3a6b1fbd-22b3-45c6-b1fd-22e4138a773e.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/5ec59530-9886-41b7-a22c-474d8c868543.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/9160e1ae-e21e-48c2-8ca8-c733bf808bb8.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/58f75afa-d41c-4f4d-827b-582b1ea89478.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/df35f713-2bc6-4842-a959-dff8a6cfac9e.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/2f089623-9a85-4d33-8843-2331367f6dcc.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/2e850375-3179-42e9-941f-f8c47c42059c.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/f9c6ef38-cf41-4ea2-88fd-012b72e1cacb.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/3ccb3b64-0790-4e34-91ab-6fc2af72c758.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/ff949153-4022-4f52-92a6-d33d3bff4baf.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/8dd07edc-3c9f-47dc-a1ed-8c226b59242d.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/35fac97f-a4f3-4378-b813-8195c296b21f.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/142e46e2-9a98-4177-9cee-09271e1af0de.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/591e2a05-a2c4-40d0-b911-86a5ecd621a6.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/c279d7e1-151b-445f-baa2-fbf82e626cb1.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/bc81e7fc-6626-44c1-980d-d92650eaabe8.jpg,364,7078,Xylorhiza orcuttii
train_mini/07078_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Xylorhiza_orcuttii/78c1f6f7-d696-4820-9a2a-d21b9db160b5.jpg,364,7078,Xylorhiza orcuttii
